strategy,question,expected,hit_rank,retrieved_sources
vector-only,What does the ccp_alpha parameter control in DecisionTreeClassifier?,tree.html,1,https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/impute.html
vector-only,What is the max_leaf_nodes parameter in scikit-learn decision trees?,tree.html,1,https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html
vector-only,What does n_estimators control in RandomForestClassifier?,ensemble.html,2,https://scikit-learn.org/stable/getting_started.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/getting_started.html
vector-only,What is the difference between GradientBoostingClassifier and HistGradientBoostingClassifier?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html
vector-only,What does the learning_rate parameter do in AdaBoostClassifier?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/metadata_routing.html
vector-only,What does the C parameter control in SVC?,svm.html,1,https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/grid_search.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/svm.html
vector-only,What is the rbf kernel in scikit-learn's SVC class?,svm.html,2,https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/auto_examples/index.html;https://scikit-learn.org/stable/modules/svm.html
vector-only,What is the gamma parameter in an SVC with an rbf kernel?,svm.html,1,https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/kernel_approximation.html;https://scikit-learn.org/stable/modules/gaussian_process.html
vector-only,What does the loss='hinge' setting mean for SGDClassifier?,sgd.html,1,https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/sgd.html
vector-only,What does the l1_ratio parameter control in SGDClassifier?,sgd.html,1,https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/whats_new/v1.8.html;https://scikit-learn.org/stable/whats_new/v1.8.html;https://scikit-learn.org/stable/modules/sgd.html
vector-only,What is the n_neighbors parameter in KNeighborsClassifier?,neighbors.html,1,https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/api/index.html
vector-only,"What is the difference between GaussianNB, MultinomialNB, and BernoulliNB?",naive_bayes.html,1,https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/naive_bayes.html
vector-only,What does the alpha parameter control in Ridge regression?,linear_model.html,1,https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html
vector-only,What is LogisticRegressionCV in scikit-learn?,linear_model.html,,https://scikit-learn.org/stable/datasets/loading_other_datasets.html;https://scikit-learn.org/stable/auto_examples/release_highlights/plot_release_highlights_1_9_0.html;https://scikit-learn.org/stable/roadmap.html;https://scikit-learn.org/stable/glossary.html
