strategy,question,expected,hit_rank,retrieved_sources
vector-only,What is the difference between Ridge and Lasso regression regularization?,linear_model.html,2,https://scikit-learn.org/stable/auto_examples/index.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html
vector-only,How does logistic regression estimate class probabilities?,linear_model.html,2,https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/svm.html
vector-only,How does ElasticNet combine L1 and L2 penalties?,linear_model.html,2,https://scikit-learn.org/stable/faq.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html
vector-only,How does Linear Discriminant Analysis use class covariance to separate classes?,lda_qda.html,1,https://scikit-learn.org/stable/modules/lda_qda.html;https://scikit-learn.org/stable/modules/lda_qda.html;https://scikit-learn.org/stable/modules/lda_qda.html;https://scikit-learn.org/stable/auto_examples/index.html
vector-only,What is the difference between LDA and QDA classifiers?,lda_qda.html,1,https://scikit-learn.org/stable/modules/lda_qda.html;https://scikit-learn.org/stable/modules/lda_qda.html;https://scikit-learn.org/stable/modules/lda_qda.html;https://scikit-learn.org/stable/modules/lda_qda.html
vector-only,How does kernel ridge regression combine ridge regression with the kernel trick?,kernel_ridge.html,1,https://scikit-learn.org/stable/modules/kernel_ridge.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html
vector-only,How does a Support Vector Machine find the maximum margin hyperplane?,svm.html,1,https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/auto_examples/index.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/auto_examples/index.html
vector-only,What is the role of the C parameter in SVM classification?,svm.html,1,https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/svm.html
vector-only,What kernels are available for SVC and how do they differ?,svm.html,3,https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/modules/kernel_ridge.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/auto_examples/index.html
vector-only,How does Stochastic Gradient Descent update model weights per sample?,sgd.html,3,https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html
vector-only,What loss functions can SGDClassifier use?,sgd.html,1,https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/sgd.html
vector-only,How does K-Nearest Neighbors classify a new sample?,neighbors.html,1,https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html
